1
1 10
1 10 100
1 10 103
1 10 106
1 10 109
1 10 112
1 10 113
1 10 114
1 10 115
1 10 116
1 10 117
1 10 118
1 10 121
1 10 124
1 10 127
1 10 13
1 10 16
1 10 19
1 10 22
1 10 23
1 10 24
1 10 25
1 10 26
1 10 27
1 10 28
1 10 31
1 10 34
1 10 37
1 10 4
1 10 40
1 10 41
1 10 42
1 10 43
1 10 44
1 10 45
1 10 46
1 10 47
1 10 48
1 10 49
1 10 5
1 10 52
1 10 55
1 10 58
1 10 6
1 10 61
1 10 62
1 10 63
1 10 65
1 10 66
1 10 69
1 10 7
1 10 72
1 10 75
1 10 76
1 10 77
1 10 78
1 10 79
1 10 8
1 10 80
1 10 81
1 10 82
1 10 85
1 10 88
1 10 91
1 10 94
1 10 95
1 10 96
1 10 97
1 10 98
1 10 99
1 100
1 100 103
1 100 106
1 100 109
1 100 112
1 100 113
1 100 114
1 100 115
1 100 116
1 100 117
1 100 118
1 100 121
1 100 124
1 100 127
1 100 13
1 100 16
1 100 19
1 100 22
1 100 23
1 100 24
1 100 25
1 100 26
1 100 27
1 100 28
1 100 31
1 100 34
1 100 37
1 100 4
1 100 40
1 100 41
1 100 42
1 100 43
1 100 44
1 100 45
1 100 46
1 100 47
1 100 48
1 100 49
1 100 5
1 100 52
1 100 55
1 100 58
1 100 6
1 100 61
1 100 62
1 100 63
1 100 65
1 100 66
1 100 69
1 100 7
1 100 72
1 100 75
1 100 76
1 100 77
1 100 78
1 100 79
1 100 8
1 100 80
1 100 81
1 100 82
1 100 85
1 100 88
1 100 9
1 100 91
1 100 94
1 100 95
1 100 96
1 100 97
1 100 99
1 103
1 103 106
1 103 109
1 103 112
1 103 113
1 103 114
1 103 115
1 103 116
1 103 117
1 103 118
1 103 121
1 103 124
1 103 127
1 103 13
1 103 16
1 103 19
1 103 22
1 103 23
1 103 24
1 103 25
1 103 26
1 103 27
1 103 28
1 103 31
1 103 34
1 103 37
1 103 4
1 103 40
1 103 41
1 103 42
1 103 43
1 103 44
1 103 45
1 103 46
1 103 47
1 103 48
1 103 49
1 103 5
1 103 52
1 103 55
1 103 58
1 103 6
1 103 61
1 103 62
1 103 63
1 103 65
1 103 66
1 103 69
1 103 7
1 103 72
1 103 75
1 103 76
1 103 77
1 103 78
1 103 79
1 103 8
1 103 80
1 103 81
1 103 82
1 103 85
1 103 88
1 103 9
1 103 91
1 103 94
1 103 95
1 103 96
1 103 97
1 103 98
1 103 99
1 106
1 106 109
1 106 112
1 106 113
1 106 114
1 106 115
1 106 116
1 106 117
1 106 118
1 106 121
1 106 124
1 106 127
1 106 13
1 106 16
1 106 19
1 106 22
1 106 23
1 106 24
1 106 25
1 106 26
1 106 27
1 106 28
1 106 31
1 106 34
1 106 37
1 106 4
1 106 40
1 106 41
1 106 42
1 106 43
1 106 44
1 106 45
1 106 46
1 106 47
1 106 48
1 106 49
1 106 5
1 106 52
1 106 55
1 106 58
1 106 6
1 106 61
1 106 62
1 106 63
1 106 65
1 106 66
1 106 69
1 106 7
1 106 72
1 106 75
1 106 76
1 106 77
1 106 78
1 106 79
1 106 8
1 106 80
1 106 81
1 106 82
1 106 85
1 106 88
1 106 9
1 106 91
1 106 94
1 106 95
1 106 96
1 106 97
1 106 98
1 106 99
1 109
1 109 112
1 109 113
1 109 114
1 109 115
1 109 116
1 109 117
1 109 118
1 109 121
1 109 124
1 109 127
1 109 13
1 109 16
1 109 19
1 109 22
1 109 23
1 109 24
1 109 25
1 109 26
1 109 27
1 109 28
1 109 31
1 109 34
1 109 37
1 109 4
1 109 40
1 109 41
1 109 42
1 109 43
1 109 44
1 109 45
1 109 46
1 109 47
1 109 48
1 109 49
1 109 5
1 109 52
1 109 55
1 109 58
1 109 6
1 109 61
1 109 62
1 109 63
1 109 65
1 109 66
1 109 69
1 109 7
1 109 72
1 109 75
1 109 76
1 109 77
1 109 78
1 109 79
1 109 8
1 109 80
1 109 81
1 109 82
1 109 85
1 109 88
1 109 9
1 109 91
1 109 94
1 109 95
1 109 96
1 109 97
1 109 98
1 109 99
1 112
1 112 115
1 112 118
1 112 121
1 112 124
1 112 127
1 112 13
1 112 16
1 112 19
1 112 22
1 112 23
1 112 24
1 112 25
1 112 26
1 112 27
1 112 28
1 112 31
1 112 34
1 112 37
1 112 4
1 112 41
1 112 43
1 112 44
1 112 45
1 112 46
1 112 48
1 112 49
1 112 5
1 112 52
1 112 55
1 112 58
1 112 6
1 112 61
1 112 62
1 112 63
1 112 65
1 112 66
1 112 69
1 112 7
1 112 72
1 112 75
1 112 76
1 112 77
1 112 78
1 112 79
1 112 8
1 112 82
1 112 85
1 112 88
1 112 91
1 112 94
1 112 95
1 112 96
1 112 97
1 112 99
1 113
1 113 115
1 113 117
1 113 118
1 113 121
1 113 124
1 113 127
1 113 13
1 113 16
1 113 19
1 113 22
1 113 23
1 113 24
1 113 25
1 113 28
1 113 31
1 113 34
1 113 37
1 113 4
1 113 41
1 113 44
1 113 45
1 113 46
1 113 49
1 113 52
1 113 55
1 113 58
1 113 6
1 113 61
1 113 62
1 113 66
1 113 69
1 113 7
1 113 72
1 113 75
1 113 76
1 113 79
1 113 82
1 113 85
1 113 88
1 113 91
1 113 94
1 113 95
1 113 97
1 114
1 114 115
1 114 116
1 114 118
1 114 121
1 114 124
1 114 127
1 114 13
1 114 16
1 114 19
1 114 22
1 114 25
1 114 28
1 114 31
1 114 34
1 114 37
1 114 4
1 114 41
1 114 44
1 114 45
1 114 46
1 114 49
1 114 52
1 114 55
1 114 58
1 114 61
1 114 66
1 114 69
1 114 7
1 114 72
1 114 75
1 114 76
1 114 79
1 114 82
1 114 85
1 114 88
1 114 91
1 114 94
1 114 95
1 114 97
1 115
1 115 118
1 115 121
1 115 124
1 115 127
1 115 13
1 115 16
1 115 19
1 115 22
1 115 23
1 115 24
1 115 25
1 115 26
1 115 27
1 115 28
1 115 31
1 115 34
1 115 37
1 115 4
1 115 40
1 115 41
1 115 42
1 115 43
1 115 44
1 115 45
1 115 46
1 115 47
1 115 48
1 115 49
1 115 5
1 115 52
1 115 55
1 115 58
1 115 6
1 115 61
1 115 62
1 115 63
1 115 65
1 115 66
1 115 69
1 115 7
